+-------------------------------------------------------+
|                       Zipf's law                      |
+----------------------------+-------+-------+----------+
|            word            |  rank | count | constant |
|            fois            |   83  |  153  |  12699   |
|          planètes          |   84  |  153  |  12852   |
|            elle            |   85  |  152  |  12920   |
|           ainsi            |   86  |  150  |  12900   |
|            non             |   87  |  149  |  12963   |
|           terre            |   88  |  148  |  13024   |
|          danglars          |   89  |  147  |  13083   |
|           d’une            |   90  |  143  |  12870   |
|          planète           |   91  |  143  |  13013   |
|            tous            |   92  |  138  |  12696   |
|            puis            |   93  |  138  |  12834   |
|            j’ai            |   94  |  134  |  12596   |
|           temps            |   95  |  133  |  12635   |
|           point            |   96  |  132  |  12672   |
|           aussi            |   97  |  131  |  12707   |
|           après            |   98  |  131  |  12838   |
|            car             |   99  |  130  |  12870   |
|           entre            |  100  |  127  |  12700   |
|          fernand           |  101  |  127  |  12827   |
|             m              |  102  |  126  |  12852   |
|            sous            |  103  |  125  |  12875   |
|            père            |  104  |  125  |  13000   |
|             ma             |  105  |  123  |  12915   |
|           moins            |  106  |  121  |  12826   |
|            ont             |  107  |  120  |  12840   |
|           depuis           |  108  |  118  |  12744   |
|            vers            |  109  |  116  |  12644   |
|            cet             |  110  |  116  |  12760   |
|             eh             |  111  |  114  |  12654   |
|            près            |  112  |  109  |  12208   |
|            suis            |  113  |  109  |  12317   |
|            jour            |  114  |  108  |  12312   |
|            rien            |  115  |  108  |  12420   |
|          mercédès          |  116  |  108  |  12528   |
|         caderousse         |  117  |  108  |  12636   |
|           trois            |  118  |  106  |  12508   |
|           grand            |  119  |  106  |  12614   |
|            yeux            |  120  |  105  |  12600   |
|           qu’on            |  121  |  104  |  12584   |
|            roi             |  122  |  103  |  12566   |
|          c’était           |  123  |  102  |  12546   |
|            tête            |  124  |  101  |  12524   |
|           l’abbé           |  125  |   99  |  12375   |
|           ditil            |  126  |   97  |  12222   |
|           autre            |  127  |   96  |  12192   |
|            dune            |  128  |   95  |  12160   |
|            main            |  129  |   95  |  12255   |
|          répondit          |  130  |   95  |  12350   |
|           faria            |  131  |   95  |  12445   |
|          demanda           |  132  |   93  |  12276   |
|           chose            |  133  |   92  |  12236   |
|           moment           |  134  |   91  |  12194   |
|            dire            |  135  |   91  |  12285   |
|           toutes           |  136  |   89  |  12104   |
|           toute            |  137  |   89  |  12193   |
|             tu             |  138  |   89  |  12282   |
|          toujours          |  139  |   88  |  12232   |
|            ils             |  140  |   88  |  12320   |
|            dieu            |  141  |   88  |  12408   |
|           autour           |  142  |   87  |  12354   |
|           autres           |  143  |   86  |  12298   |
|           avoir            |  144  |   86  |  12384   |
|          quelque           |  145  |   84  |  12180   |
|            peut            |  146  |   83  |  12118   |
|            déjà            |  147  |   83  |  12201   |
|           morrel           |  148  |   83  |  12284   |
|            dun             |  149  |   82  |  12218   |
|           lettre           |  150  |   82  |  12300   |
|            fut             |  151  |   81  |  12231   |
|            soit            |  152  |   81  |  12312   |
|            fit             |  153  |   81  |  12393   |
|             oh             |  154  |   81  |  12474   |
|            mort            |  155  |   80  |  12400   |
|           objets           |  156  |   79  |  12324   |
|           grande           |  157  |   78  |  12246   |
|            seul            |  158  |   78  |  12324   |
|           celui            |  159  |   77  |  12243   |
|          quelques          |  160  |   77  |  12320   |
|            l’on            |  161  |   76  |  12236   |
|          articles          |  162  |   76  |  12312   |
|            ans             |  163  |   76  |  12388   |
|          premier           |  164  |   76  |  12464   |
|           quand            |  165  |   76  |  12540   |
|          ceinture          |  166  |   76  |  12616   |
|          jupiter           |  167  |   76  |  12692   |
|         maintenant         |  168  |   76  |  12768   |
|            cœur            |  169  |   75  |  12675   |
|           reprit           |  170  |   75  |  12750   |
|            s’il            |  171  |   75  |  12825   |
|         prisonnier         |  172  |   75  |  12900   |
|         cependant          |  173  |   74  |  12802   |
|           porte            |  174  |   74  |  12876   |
|            vue             |  175  |   73  |  12775   |
|           jours            |  176  |   73  |  12848   |
|            mer             |  177  |   73  |  12921   |
|           n’est            |  178  |   72  |  12816   |
|          pendant           |  179  |   72  |  12888   |
|            eût             |  180  |   72  |  12960   |
|           monde            |  181  |   71  |  12851   |
|            vie             |  182  |   71  |  12922   |
|            très            |  183  |   71  |  12993   |
|          geôlier           |  184  |   71  |  13064   |
|             là             |  185  |   69  |  12765   |
|          peutêtre          |  186  |   69  |  12834   |
|           l’île            |  187  |   69  |  12903   |
|            avez            |  188  |   69  |  12972   |
|           celle            |  189  |   68  |  12852   |
|           quatre           |  190  |   68  |  12920   |
|            sire            |  191  |   68  |  12988   |
|            lune            |  192  |   68  |  13056   |
|          presque           |  193  |   67  |  12931   |
|          pouvait           |  194  |   67  |  12998   |
|           heures           |  195  |   66  |  12870   |
|         seulement          |  196  |   66  |  12936   |
|         capitaine          |  197  |   66  |  13002   |
|         gouverneur         |  198  |   66  |  13068   |
|            êtes            |  199  |   65  |  12935   |
|           jamais           |  200  |   64  |  12800   |
|            bon             |  201  |   64  |  12864   |
|           corps            |  202  |   64  |  12928   |
|            voir            |  203  |   64  |  12992   |
|             ah             |  204  |   64  |  13056   |
|            nom             |  205  |   63  |  12915   |
|           chaque           |  206  |   63  |  12978   |
|           serait           |  207  |   63  |  13041   |
|           leurs            |  208  |   63  |  13104   |
|          première          |  209  |   63  |  13167   |
|          saturne           |  210  |   63  |  13230   |
|            n’y             |  211  |   63  |  13293   |
|           voilà            |  212  |   63  |  13356   |
|           devant           |  213  |   62  |  13206   |
|            lit             |  214  |   62  |  13268   |
|            sens            |  215  |   61  |  13115   |
|            voix            |  216  |   61  |  13176   |
|            ami             |  217  |   61  |  13237   |
|            faut            |  218  |   60  |  13080   |
|            trop            |  219  |   60  |  13140   |
|            nuit            |  220  |   60  |  13200   |
|            mes             |  221  |   60  |  13260   |
|          s’écria           |  222  |   60  |  13320   |
|           prison           |  223  |   60  |  13380   |
|            chez            |  224  |   59  |  13216   |
|             vu             |  225  |   59  |  13275   |
|           bruit            |  226  |   59  |  13334   |
|          instant           |  227  |   58  |  13166   |
|          article           |  228  |   57  |  12996   |
|          millions          |  229  |   57  |  13053   |
|           tandis           |  230  |   57  |  13110   |
|          ministre          |  231  |   56  |  12936   |
|          n’avait           |  232  |   56  |  12992   |
|          liberté           |  233  |   55  |  12815   |
|           quelle           |  234  |   55  |  12870   |
|            mois            |  235  |   55  |  12925   |
|        l’inspecteur        |  236  |   55  |  12980   |
|          étaient           |  237  |   54  |  12798   |
|          neptune           |  238  |   54  |  12852   |
|          chambre           |  239  |   54  |  12906   |
|         vieillard          |  240  |   54  |  12960   |
|            fort            |  241  |   53  |  12773   |
|           avant            |  242  |   53  |  12826   |
|           effet            |  243  |   53  |  12879   |
|         marseille          |  244  |   53  |  12932   |
|            coup            |  245  |   53  |  12985   |
|          continua          |  246  |   53  |  13038   |
|           louis            |  247  |   53  |  13091   |
|            tant            |  248  |   52  |  12896   |
|          courant           |  249  |   52  |  12948   |
|            cher            |  250  |   52  |  13000   |
|             ni             |  251  |   51  |  12801   |
|         également          |  252  |   51  |  12852   |
|            dix             |  253  |   51  |  12903   |
|           masse            |  254  |   51  |  12954   |
|            sais            |  255  |   51  |  13005   |
|           place            |  256  |   50  |  12800   |
|             pu             |  257  |   50  |  12850   |
|           forme            |  258  |   50  |  12900   |
|          laquelle          |  259  |   50  |  12950   |
|           contre           |  260  |   50  |  13000   |
|           heure            |  261  |   50  |  13050   |
|            lieu            |  262  |   49  |  12838   |
|           table            |  263  |   49  |  12887   |
|            mars            |  264  |   48  |  12672   |
|             eu             |  265  |   48  |  12720   |
|           nuage            |  266  |   48  |  12768   |
|          s’était           |  267  |   48  |  12816   |
|           peine            |  268  |   48  |  12864   |
|           venait           |  269  |   48  |  12912   |
|           regard           |  270  |   48  |  12960   |
|           paris            |  271  |   47  |  12737   |
|           libre            |  272  |   47  |  12784   |
|          luimême           |  273  |   47  |  12831   |
|           mieux            |  274  |   47  |  12878   |
|            sera            |  275  |   47  |  12925   |
|           hommes           |  276  |   47  |  12972   |
|          comment           |  277  |   47  |  13019   |
|         l’armateur         |  278  |   47  |  13066   |
|            m’a             |  279  |   47  |  13113   |
|           donné            |  280  |   46  |  12880   |
|           france           |  281  |   46  |  12926   |
|           selon            |  282  |   46  |  12972   |
|          surface           |  283  |   46  |  13018   |
|            bras            |  284  |   46  |  13064   |
|            vit             |  285  |   46  |  13110   |
|          malheur           |  286  |   46  |  13156   |
|         plusieurs          |  287  |   45  |  12915   |
|           nombre           |  288  |   45  |  12960   |
|           orbite           |  289  |   45  |  13005   |
|            vos             |  290  |   45  |  13050   |
|          bâtiment          |  291  |   45  |  13095   |
|           xviii            |  292  |   45  |  13140   |
|           patron           |  293  |   45  |  13185   |
|           milieu           |  294  |   44  |  12936   |
|           papier           |  295  |   44  |  12980   |
|          l’homme           |  296  |   44  |  13024   |
|            fils            |  297  |   44  |  13068   |
|             te             |  298  |   44  |  13112   |
|          majesté           |  299  |   44  |  13156   |
|           cachot           |  300  |   44  |  13200   |
|           grâce            |  301  |   43  |  12943   |
|          l’autre           |  302  |   43  |  12986   |
|         satellites         |  303  |   43  |  13029   |
|           enfin            |  304  |   43  |  13072   |
|          exemple           |  305  |   42  |  12810   |
|         notamment          |  306  |   42  |  12852   |
|          environ           |  307  |   42  |  12894   |
|         mouvement          |  308  |   42  |  12936   |
|           notre            |  309  |   42  |  12978   |
|           petit            |  310  |   42  |  13020   |
|            ciel            |  311  |   42  |  13062   |
|            mal             |  312  |   42  |  13104   |
|          château           |  313  |   42  |  13146   |
|          qu’elle           |  314  |   42  |  13188   |
|           mettre           |  315  |   41  |  12915   |
|          personne          |  316  |   41  |  12956   |
|           doute            |  317  |   41  |  12997   |
|            ici             |  318  |   41  |  13038   |
|           lequel           |  319  |   40  |  12760   |
|           assez            |  320  |   40  |  12800   |
|           allons           |  321  |   40  |  12840   |
|           voici            |  322  |   40  |  12880   |
|           police           |  323  |   40  |  12920   |
|            soir            |  324  |   39  |  12636   |
|          peuvent           |  325  |   39  |  12675   |
|           raison           |  326  |   39  |  12714   |
|           étant            |  327  |   39  |  12753   |
|            pris            |  328  |   39  |  12792   |
|            tour            |  329  |   39  |  12831   |
|           reste            |  330  |   39  |  12870   |
|           pauvre           |  331  |   39  |  12909   |
|            fou             |  332  |   39  |  12948   |
|          noirtier          |  333  |   39  |  12987   |
|             va             |  334  |   38  |  12692   |
|           ligne            |  335  |   38  |  12730   |
|          seconde           |  336  |   38  |  12768   |
|            haut            |  337  |   38  |  12806   |
|        aujourd’hui         |  338  |   38  |  12844   |
|            bord            |  339  |   38  |  12882   |
|           image            |  340  |   37  |  12580   |
|            ceux            |  341  |   37  |  12617   |
|            cinq            |  342  |   37  |  12654   |
|           vénus            |  343  |   37  |  12691   |
|           marin            |  344  |   37  |  12728   |
|          l’avait           |  345  |   37  |  12765   |
|            fût             |  346  |   37  |  12802   |
|           front            |  347  |   37  |  12839   |
|           mains            |  348  |   37  |  12876   |
|           renée            |  349  |   37  |  12913   |
|           trésor           |  350  |   37  |  12950   |
|            quoi            |  351  |   36  |  12636   |
|         fondation          |  352  |   36  |  12672   |
|          lorsque           |  353  |   36  |  12708   |
|           petite           |  354  |   36  |  12744   |
|           passé            |  355  |   36  |  12780   |
|           parler           |  356  |   36  |  12816   |
|           qu’ils           |  357  |   36  |  12852   |
|            d’if            |  358  |   36  |  12888   |
|           besoin           |  359  |   36  |  12924   |
|             ai             |  360  |   36  |  12960   |
|          bonheur           |  361  |   36  |  12996   |
|           pensée           |  362  |   35  |  12670   |
|            pays            |  363  |   35  |  12705   |
|            part            |  364  |   35  |  12740   |
|          heureux           |  365  |   35  |  12775   |
|            plan            |  366  |   35  |  12810   |
|           seule            |  367  |   35  |  12845   |
|          jusqu’à           |  368  |   35  |  12880   |
|           allez            |  369  |   35  |  12915   |
|           fille            |  370  |   35  |  12950   |
|          pourquoi          |  371  |   34  |  12614   |
|          nouvelle          |  372  |   34  |  12648   |
|            cas             |  373  |   34  |  12682   |
|            nos             |  374  |   34  |  12716   |
|       lencyclopédie        |  375  |   34  |  12750   |
|            bas             |  376  |   34  |  12784   |
|           gauche           |  377  |   34  |  12818   |
|          montrant          |  378  |   34  |  12852   |
|         électrique         |  379  |   34  |  12886   |
|          celuici           |  380  |   34  |  12920   |
|          géantes           |  381  |   34  |  12954   |
|           kuiper           |  382  |   34  |  12988   |
|           sombre           |  383  |   34  |  13022   |
|            côté            |  384  |   34  |  13056   |
|           visage           |  385  |   34  |  13090   |
|          pharaon           |  386  |   34  |  13124   |
|           avons            |  387  |   34  |  13158   |
|           crois            |  388  |   34  |  13192   |
|           savez            |  389  |   34  |  13226   |
|          regarda           |  390  |   34  |  13260   |
|           qu’un            |  391  |   34  |  13294   |
|           spada            |  392  |   34  |  13328   |
|          prendre           |  393  |   33  |  12969   |
|           malgré           |  394  |   33  |  13002   |
|         politique          |  395  |   33  |  13035   |
|           taille           |  396  |   33  |  13068   |
|          détaillé          |  397  |   33  |  13101   |
|          contenu           |  398  |   33  |  13134   |
|         wikimédia          |  399  |   33  |  13167   |
|          demande           |  400  |   33  |  13200   |
|          lumière           |  401  |   33  |  13233   |
|          comètes           |  402  |   33  |  13266   |
|          orbites           |  403  |   33  |  13299   |
|           d’être           |  404  |   33  |  13332   |
|            prit            |  405  |   33  |  13365   |
|          n’était           |  406  |   33  |  13398   |
|         d’ailleurs         |  407  |   33  |  13431   |
|            doit            |  408  |   32  |  13056   |
|           moyen            |  409  |   32  |  13088   |
|           projet           |  410  |   32  |  13120   |
|          mercure           |  411  |   32  |  13152   |
|            bout            |  412  |   32  |  13184   |
|            n’ai            |  413  |   32  |  13216   |
|          murmura           |  414  |   32  |  13248   |
|          napoléon          |  415  |   32  |  13280   |
|           plutôt           |  416  |   31  |  12896   |
|          souvent           |  417  |   31  |  12927   |
|           partir           |  418  |   31  |  12958   |
|          période           |  419  |   31  |  12989   |
|           semble           |  420  |   31  |  13020   |
|            rue             |  421  |   31  |  13051   |
|          nombreux          |  422  |   31  |  13082   |
|            gens            |  423  |   31  |  13113   |
|            fin             |  424  |   31  |  13144   |
|          possible          |  425  |   31  |  13175   |
|           grands           |  426  |   31  |  13206   |
|           force            |  427  |   31  |  13237   |
|          version           |  428  |   31  |  13268   |
|          nouveau           |  429  |   31  |  13299   |
|        augmentation        |  430  |   31  |  13330   |
|           suite            |  431  |   31  |  13361   |
|        dastéroïdes         |  432  |   31  |  13392   |
|          d’abord           |  433  |   31  |  13423   |
|           pieds            |  434  |   31  |  13454   |
|           donner           |  435  |   31  |  13485   |
|            n’en            |  436  |   31  |  13516   |
|           vieux            |  437  |   31  |  13547   |
|           voyez            |  438  |   31  |  13578   |
|           parce            |  439  |   30  |  13170   |
|           matin            |  440  |   30  |  13200   |
|          certains          |  441  |   30  |  13230   |
|           années           |  442  |   30  |  13260   |
|           savoir           |  443  |   30  |  13290   |
|           elles            |  444  |   30  |  13320   |
|           parmi            |  445  |   30  |  13350   |
|            fond            |  446  |   30  |  13380   |
|           droite           |  447  |   30  |  13410   |
|           perdu            |  448  |   30  |  13440   |
|         astéroïdes         |  449  |   30  |  13470   |
|           naine            |  450  |   30  |  13500   |
|           pluton           |  451  |   30  |  13530   |
|         terrestre          |  452  |   30  |  13560   |
|           arrivé           |  453  |   30  |  13590   |
|           d’elbe           |  454  |   30  |  13620   |
|           passa            |  455  |   30  |  13650   |
|           garçon           |  456  |   30  |  13680   |
|          semblait          |  457  |   30  |  13710   |
|            vin             |  458  |   30  |  13740   |
|           choses           |  459  |   30  |  13770   |
|         procureur          |  460  |   30  |  13800   |
|           allait           |  461  |   30  |  13830   |
|         substitut          |  462  |   30  |  13860   |
|          justice           |  463  |   30  |  13890   |
|           prise            |  464  |   29  |  13456   |
|            loin            |  465  |   29  |  13485   |
|            aura            |  466  |   29  |  13514   |
|            veut            |  467  |   29  |  13543   |
|         contraire          |  468  |   29  |  13572   |
|           partie           |  469  |   29  |  13601   |
|           petits           |  470  |   29  |  13630   |
|           jacopo           |  471  |   29  |  13659   |
|          avaient           |  472  |   29  |  13688   |
|         longtemps          |  473  |   29  |  13717   |
|           vérité           |  474  |   29  |  13746   |
|            vent            |  475  |   29  |  13775   |
|          diamètre          |  476  |   29  |  13804   |
|           dites            |  477  |   29  |  13833   |
|            j’en            |  478  |   29  |  13862   |
|           belle            |  479  |   29  |  13891   |
|          jusqu’au          |  480  |   29  |  13920   |
|          faisait           |  481  |   29  |  13949   |
|          silence           |  482  |   29  |  13978   |
|          marquise          |  483  |   29  |  14007   |
|            amis            |  484  |   28  |  13552   |
|           mesure           |  485  |   28  |  13580   |
|            l’un            |  486  |   28  |  13608   |
|           trouve           |  487  |   28  |  13636   |
|            cent            |  488  |   28  |  13664   |
|            six             |  489  |   28  |  13692   |
|           faite            |  490  |   28  |  13720   |
|          rotation          |  491  |   28  |  13748   |
|           mille            |  492  |   28  |  13776   |
|           chemin           |  493  |   28  |  13804   |
|         voulezvous         |  494  |   28  |  13832   |
|            vrai            |  495  |   28  |  13860   |
|            joie            |  496  |   28  |  13888   |
|          j’avais           |  497  |   28  |  13916   |
|            veux            |  498  |   28  |  13944   |
|         malheureux         |  499  |   28  |  13972   |
|            duc             |  500  |   28  |  14000   |
|           blacas           |  501  |   28  |  14028   |
|           parole           |  502  |   27  |  13554   |
|            lors            |  503  |   27  |  13581   |
|          dautres           |  504  |   27  |  13608   |
|           ayant            |  505  |   27  |  13635   |
|           aucun            |  506  |   27  |  13662   |
|           façon            |  507  |   27  |  13689   |
|          général           |  508  |   27  |  13716   |
|            quel            |  509  |   27  |  13743   |
|           objet            |  510  |   27  |  13770   |
|          lorbite           |  511  |   27  |  13797   |
|           venir            |  512  |   27  |  13824   |
|           bonne            |  513  |   27  |  13851   |
|          n’estce           |  514  |   27  |  13878   |
|          j’étais           |  515  |   27  |  13905   |
|           voyons           |  516  |   27  |  13932   |
|           croire           |  517  |   26  |  13442   |
|         formation          |  518  |   26  |  13468   |
|          rapport           |  519  |   26  |  13494   |
|           aller            |  520  |   26  |  13520   |
|       contributeurs        |  521  |   26  |  13546   |
|          travers           |  522  |   26  |  13572   |
|           simple           |  523  |   26  |  13598   |
|           rouge            |  524  |   26  |  13624   |
|            sud             |  525  |   26  |  13650   |
|           retour           |  526  |   26  |  13676   |
|          possède           |  527  |   26  |  13702   |
|           passer           |  528  |   26  |  13728   |
|           moitié           |  529  |   26  |  13754   |
|          l’heure           |  530  |   26  |  13780   |
|            pied            |  531  |   26  |  13806   |
|           qu’une           |  532  |   26  |  13832   |
|          pourrait          |  533  |   25  |  13325   |
|          beaucoup          |  534  |   25  |  13350   |
|            but             |  535  |   25  |  13375   |
|       lorganisation        |  536  |   25  |  13400   |
|            mot             |  537  |   25  |  13425   |
|          ensuite           |  538  |   25  |  13450   |
|        différentes         |  539  |   25  |  13475   |
|       principalement       |  540  |   25  |  13500   |
|           points           |  541  |   25  |  13525   |
|            eux             |  542  |   25  |  13550   |
|          dernier           |  543  |   25  |  13575   |
|             km             |  544  |   25  |  13600   |
|          dannées           |  545  |   25  |  13625   |
|          famille           |  546  |   25  |  13650   |
|           navire           |  547  |   25  |  13675   |
|          cheveux           |  548  |   25  |  13700   |
|          sourire           |  549  |   25  |  13725   |
|           mourir           |  550  |   25  |  13750   |
|          derrière          |  551  |   25  |  13775   |
|            mots            |  552  |   25  |  13800   |
|            eut             |  553  |   25  |  13825   |
|           esprit           |  554  |   25  |  13850   |
|           propre           |  555  |   24  |  13320   |
|            n’a             |  556  |   24  |  13344   |
|           siècle           |  557  |   24  |  13368   |
|          premiers          |  558  |   24  |  13392   |
|          denviron          |  559  |   24  |  13416   |
|           quant            |  560  |   24  |  13440   |
|         milliards          |  561  |   24  |  13464   |
|          interne           |  562  |   24  |  13488   |
|         kilomètres         |  563  |   24  |  13512   |
|          soldats           |  564  |   24  |  13536   |
|            atil            |  565  |   24  |  13560   |
|         impossible         |  566  |   24  |  13584   |
|            qu’à            |  567  |   24  |  13608   |
|         compagnon          |  568  |   24  |  13632   |
|          bientôt           |  569  |   24  |  13656   |
|         cinquante          |  570  |   24  |  13680   |
|            s’en            |  571  |   23  |  13133   |
|          d’autres          |  572  |   23  |  13156   |
|           devenu           |  573  |   23  |  13179   |
|           visite           |  574  |   23  |  13202   |
|           perdre           |  575  |   23  |  13225   |
|           chacun           |  576  |   23  |  13248   |
|           vient            |  577  |   23  |  13271   |
|          travail           |  578  |   23  |  13294   |
|           images           |  579  |   23  |  13317   |
|           pages            |  580  |   23  |  13340   |
|         certaines          |  581  |   23  |  13363   |
|        prisonniers         |  582  |   23  |  13386   |
|           naines           |  583  |   23  |  13409   |
|          surtout           |  584  |   23  |  13432   |
|         découverte         |  585  |   23  |  13455   |
|            fer             |  586  |   23  |  13478   |
|            long            |  587  |   23  |  13501   |
|         lorsqu’il          |  588  |   23  |  13524   |
|           dette            |  589  |   23  |  13547   |
|          aussitôt          |  590  |   23  |  13570   |
|            vint            |  591  |   23  |  13593   |
|          souriant          |  592  |   23  |  13616   |
|            coin            |  593  |   23  |  13639   |
|            leva            |  594  |   23  |  13662   |
|           l’air            |  595  |   23  |  13685   |
|        l’usurpateur        |  596  |   23  |  13708   |
|           tenait           |  597  |   22  |  13134   |
|           aucune           |  598  |   22  |  13156   |
|          grandes           |  599  |   22  |  13178   |
|           compte           |  600  |   22  |  13200   |
|           devait           |  601  |   22  |  13222   |
|           arrêté           |  602  |   22  |  13244   |
|            face            |  603  |   22  |  13266   |
|           longue           |  604  |   22  |  13288   |
|          distance          |  605  |   22  |  13310   |
|         atmosphère         |  606  |   22  |  13332   |
|           comète           |  607  |   22  |  13354   |
|          quoique           |  608  |   22  |  13376   |
|           second           |  609  |   22  |  13398   |
|           l’œil            |  610  |   22  |  13420   |
|        montecristo         |  611  |   22  |  13442   |
|            alla            |  612  |   22  |  13464   |
|         retournant         |  613  |   22  |  13486   |
|            jeta            |  614  |   22  |  13508   |
|           faites           |  615  |   22  |  13530   |
|          demander          |  616  |   22  |  13552   |
|         l’empereur         |  617  |   22  |  13574   |
|           riant            |  618  |   22  |  13596   |
|          chercher          |  619  |   22  |  13618   |
|          attendez          |  620  |   22  |  13640   |
|          paroles           |  621  |   22  |  13662   |
|            idée            |  622  |   22  |  13684   |
|           césar            |  623  |   22  |  13706   |
|          dernière          |  624  |   21  |  13104   |
|           année            |  625  |   21  |  13125   |
|           cours            |  626  |   21  |  13146   |
|           cause            |  627  |   21  |  13167   |
|            afin            |  628  |   21  |  13188   |
|          trouver           |  629  |   21  |  13209   |
|           disque           |  630  |   21  |  13230   |
|          français          |  631  |   21  |  13251   |
|          présente          |  632  |   21  |  13272   |
|            huit            |  633  |   21  |  13293   |
|           connu            |  634  |   21  |  13314   |
|           glaces           |  635  |   21  |  13335   |
|           jusquà           |  636  |   21  |  13356   |
|          étoiles           |  637  |   21  |  13377   |
|          orbitale          |  638  |   21  |  13398   |
|           vingt            |  639  |   21  |  13419   |
|           juste            |  640  |   21  |  13440   |
|          revenir           |  641  |   21  |  13461   |
|          matelots          |  642  |   21  |  13482   |
|           soyez            |  643  |   21  |  13503   |
|            sait            |  644  |   21  |  13524   |
|            l’a             |  645  |   21  |  13545   |
|            peur            |  646  |   21  |  13566   |
|           voyait           |  647  |   21  |  13587   |
|          terrible          |  648  |   21  |  13608   |
|          douleur           |  649  |   21  |  13629   |
|          médecin           |  650  |   21  |  13650   |
|           langue           |  651  |   20  |  13020   |
|         personnes          |  652  |   20  |  13040   |
|          ailleurs          |  653  |   20  |  13060   |
|          plupart           |  654  |   20  |  13080   |
|         darticles          |  655  |   20  |  13100   |
|           servir           |  656  |   20  |  13120   |
|           donne            |  657  |   20  |  13140   |
|          question          |  658  |   20  |  13160   |
|          minutes           |  659  |   20  |  13180   |
|           terme            |  660  |   20  |  13200   |
|           parle            |  661  |   20  |  13220   |
|           uranus           |  662  |   20  |  13240   |
|           région           |  663  |   20  |  13260   |
|          duranus           |  664  |   20  |  13280   |
|         résonance          |  665  |   20  |  13300   |
|           voyage           |  666  |   20  |  13320   |
|          attendre          |  667  |   20  |  13340   |
|           maison           |  668  |   20  |  13360   |
|           route            |  669  |   20  |  13380   |
|           comte            |  670  |   20  |  13400   |
|           voyant           |  671  |   20  |  13420   |
|          vivement          |  672  |   20  |  13440   |
|            venu            |  673  |   20  |  13460   |
|            m’en            |  674  |   20  |  13480   |
